,id,N,P,K,temperature,humidity,ph,rainfall,crop,crop_code,depto_code,id_depto,departamento_colombia,zona_vida,temperature_min,temperature_max,rainfall_min,rainfall_max,Longitud,Latitud
0,1,90,42,43,"20,88","82,00","6,50","202,94",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
1,2,85,58,41,"21,77","80,32","7,04","226,656",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
2,3,60,55,44,"23,00","82,32","7,84","263,964",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
3,4,74,35,40,"26,49","80,16","6,98","242,864",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
4,5,78,42,42,"20,13","81,61","7,63","262,717",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
5,6,69,37,42,"23,06","83,37","7,07","251,055",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
6,7,69,55,38,"22,71","82,64","5,70","271,325",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
7,8,94,53,40,"20,28","82,89","5,72","241,974",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
8,9,89,54,38,"24,52","83,54","6,69","230,446",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
9,10,68,58,38,"23,22","83,03","6,34","221,209",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
10,11,91,53,40,"26,53","81,42","5,39","264,615",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
11,12,90,46,42,"23,98","81,45","7,50","250,083",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
12,13,78,58,44,"26,80","80,89","5,11","284,436",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
13,14,93,56,36,"24,02","82,06","6,98","185,277",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
14,15,94,50,37,"25,67","80,66","6,95","209,587",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
15,16,60,48,39,"24,28","80,30","7,04","231,086",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
16,17,85,38,41,"21,59","82,79","6,25","276,655",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
17,18,91,35,39,"23,79","80,42","6,97","206,261",rice,1,1,1,Casanare,Bosque Humedo-Tropical,20,33,1000,2500,"-71,60188121","5,404063946"
